JTWID,PERSID,HHID,ORIGSLA,ORIGLGA,STARTHOUR,DESTSLA,DESTLGA,ARRHOUR,JTWMODE,JTWDIST,JTWTravelTime,JTWElapsedTime,TRAVELPERIOD,ADJTWWGT,WDJTWWGT,WEJTWWGT
Y09H010139P01JTW1,Y09H010139P01,Y09H010139,Yarra (C) - North,Yarra (C),8,Brimbank (C) - Keilor,Brimbank (C),8,Vehicle Driver,23.57,40,40,AM Peak (7am to 9am),143.1274321,205.7193528, 
Y09H010139P02JTW1,Y09H010139P02,Y09H010139,Yarra (C) - North,Yarra (C),8,Whitehorse (C) - Nunawading E.,Whitehorse (C),8,Vehicle Driver,18.39,35,35,AM Peak (7am to 9am),153.3463637,220.7870405, 
Y09H010140P01JTW1,Y09H010140P01,Y09H010140,Yarra (C) - North,Yarra (C),8,Yarra (C) - North,Yarra (C),9,Walking,1.1,15,15,AM Peak (7am to 9am),151.7061329,214.8172573, 
Y09H010140P01JTW2,Y09H010140P01,Y09H010140,Yarra (C) - North,Yarra (C),14,Yarra (C) - North,Yarra (C),15,Walking,1.1,15,15,Off Peak,151.7061329,214.8172573, 
Y09H010208P01JTW1,Y09H010208P01,Y09H010208,Yarra (C) - North,Yarra (C),9,Melbourne (C) - Remainder,Melbourne (C),10,Tram,5.66,70,70,Off Peak,223.9896652,323.8591416, 
Y09H010210P01JTW1,Y09H010210P01,Y09H010210,Yarra (C) - North,Yarra (C),7,Melbourne (C) - Remainder,Melbourne (C),8,Walking,2.48,40,40,AM Peak (7am to 9am),112.9713986,141.3155322, 
Y09H010212P01JTW1,Y09H010212P01,Y09H010212,Yarra (C) - North,Yarra (C),8,Melbourne (C) - Inner,Melbourne (C),9,Tram,4.43,25,25,AM Peak (7am to 9am),100.82515,125.6480961, 
Y09H010213P02JTW1,Y09H010213P02,Y09H010213,Yarra (C) - North,Yarra (C),11,Melbourne (C) - Inner,Melbourne (C),11,Vehicle Driver,3.84,10,10,Off Peak,214.4456671, ,669.1120883
Y09H010213P02JTW2,Y09H010213P02,Y09H010213,Yarra (C) - North,Yarra (C),19,Melbourne (C) - Inner,Melbourne (C),19,Vehicle Driver,3.84,10,10,Off Peak,214.4456671, ,669.1120883
Y09H010225P01JTW1,Y09H010225P01,Y09H010225,Yarra (C) - North,Yarra (C),6,Melbourne (C) - Inner,Melbourne (C),6,Bicycle,4.07,20,20,Off Peak,145.1737038,204.7801338, 
